POSIX,source,app,x_x0,y_y0,t_t0
1503496210,85,2,-0.0186739731365452,0.00228783903727008,0
1503497056,135,2,0.030822618238369,0.0239262446040761,0
1503497430,9,2,-0.0534807643617595,0.0977284566759955,0
1503506107,118,2,-0.0150989968854354,0.104870016555613,0
1503506781,41,2,-0.088573966436175,0.11875330003908,0
1503510481,138,2,-0.0979997654170559,0.0415446762476006,1
1503516807,101,2,-0.0477030926487884,0.0502768296011704,0
1503518704,7,2,-0.0608514704624965,0.0112634010717732,0
1503562949,18,2,0.0389318682235768,0.0169726317810583,1
1503565118,88,2,0.0422635402871234,0.0138289646390697,0
1503565753,117,2,0.0121443707924659,-0.01601428728023,0
1503566757,73,2,-0.0747649871473088,-0.0267421650076863,0
1503568279,131,2,-0.0772131791705695,0.157050936473948,1
1503570766,37,2,-0.0148879582480996,0.0286643823032255,1
1503575503,141,2,0.10601962617963,0.147380132790471,0
1503576982,131,2,-0.0964927431414715,0.0887731533824959,0
1503578919,110,2,-0.0625545211769558,0.0152894033515072,1
1503584936,149,2,0.0413545946967358,0.0812405345004378,0
1503595721,28,2,-0.0359174957021006,-0.126232475843558,1
1503596078,42,2,0.176754547563556,-0.0630947350626051,0
1503596696,110,2,-0.0110058050676866,0.115336711693753,2
1503648301,35,2,-0.121038202520084,-0.133754966165165,0
1503649084,4,2,0.11941018532222,-0.143350361744087,0
1503649667,2,2,-0.0063980195664581,0.09037216064056,1
1503654066,36,2,-0.199028108626433,0.229277851016552,0
1503657752,71,2,-0.228862069262726,0.0759172790688542,0
1503658974,103,2,-0.0281515578800167,0.0036681519367807,0
1503660960,134,2,0.0284131939187759,-0.0389954350367165,0
1503661705,114,2,0.0984963643156015,0.153130733682301,1
1503666130,63,2,0.155041640367678,-0.122519258543154,0
1503668300,134,2,-0.0473604203832238,-0.0618144695127678,0
1503671484,134,2,-0.0621824540646187,-0.100373362946911,0
1503675939,154,2,-0.0437872443189097,-0.0860625452142482,0
1503677567,135,2,-0.0335079661482934,0.00709746572407537,1
1503683532,134,2,0.0247740922292116,0.0425835212616188,2
1503683601,122,2,0.0715071253129864,0.192357618771784,1
1503684583,60,2,-0.074795640794328,-0.197085122113436,1
1503690103,23,2,0.0130244839205177,-0.0612304696180794,0
1503690583,32,2,-0.178256554307435,-0.123143900586466,0
1503693691,93,2,0.119092269339423,0.0822428985883172,0
1503745543,40,2,0.024826841267629,-0.141115622918124,1
1503749615,93,2,-0.142725718795994,0.1087060311529,0
1503775217,15,2,0.0077893252949424,-0.0100309256301691,0
